product,title,category,subcategory,dress_length,color,pattern,tags,views,video_url,image1,image2,image3
013,Black short-sleeve lace maxi dress,Dresses,Lace maxi dress,Maxi,black,lace,black; lace; maxi; elegant; occasion; feminine,7236,https://www.tiktok.com/@liletti_md/video/7644568425066532116,product-013-1.jpg,product-013-2.jpg,product-013-3.jpg
014,Black polka dot midi dress,Dresses,Belted midi dress,Midi,black,print,black; polka-dot; midi; casual; everyday; feminine,7186,https://www.tiktok.com/@liletti_md/video/7648328136295222549,product-014-1.jpg,product-014-2.jpg,product-014-3.jpg
015,Pastel yellow pencil skirt,Skirts,Midi pencil skirt,,yellow,solid,yellow; midi; office; elegant; pastel; spring,6801,https://www.tiktok.com/@liletti_md/video/7648204839385582868,product-015-1.jpg,product-015-2.jpg,product-015-3.jpg
016,Pink floral dress and blazer set,Co-ord Sets,Dress with matching blazer,,pink,floral,pink; floral; two-piece; elegant; occasion; chiffon,6051,https://www.tiktok.com/@liletti_md/video/7646110296678976789,product-016-1.jpg,product-016-2.jpg,product-016-3.jpg
017,Black collared satin midi dress,Dresses,Satin midi dress,Midi,black,solid,black; midi; satin; elegant; evening; collared,5963,https://www.tiktok.com/@liletti_md/video/7646099681205865748,product-017-1.jpg,product-017-2.jpg,product-017-3.jpg
018,Yellow tie-neck blouse,Tops,Long-sleeve blouse,,yellow,solid,yellow; blouse; casual; spring; tie-neck; chiffon,5779,https://www.tiktok.com/@liletti_md/video/7650802426009636117,product-018-1.jpg,product-018-2.jpg,product-018-3.jpg
019,Ivory knit bomber and tee co-ord,Co-ord Sets,Cardigan jacket with top set,,ivory,solid,ivory; two-piece; casual; knit; loungewear; neutral,5437,https://www.tiktok.com/@liletti_md/video/7648649817836637461,product-019-1.jpg,product-019-2.jpg,product-019-3.jpg
020,Black floral print dress,Dresses,Printed midi dress,Midi,black,floral,black; floral; print; casual; summer; flowy,5286,https://www.tiktok.com/@liletti_md/video/7651197176772644117,product-020-1.jpg,product-020-2.jpg,product-020-3.jpg
021,Pastel yellow blazer and trouser suit,Co-ord Sets,Blazer with trousers suit,,yellow,solid,yellow; suit; two-piece; office; elegant; tailored,5253,https://www.tiktok.com/@liletti_md/video/7644504875056876820,product-021-1.jpg,product-021-2.jpg,product-021-3.jpg
022,Paisley print boho maxi dress,Dresses,Boho maxi dress,Maxi,beige,print,beige; maxi; boho; print; summer; flowy,5214,https://www.tiktok.com/@liletti_md/video/7646889965434998037,product-022-1.jpg,product-022-2.jpg,product-022-3.jpg
023,Ivory knit jacket and trouser set,Co-ord Sets,Cardigan with trousers set,,ivory,solid,ivory; two-piece; casual; knit; neutral; loungewear,4990,https://www.tiktok.com/@liletti_md/video/7647168554097200405,product-023-1.jpg,product-023-2.jpg,product-023-3.jpg
024,Rosette strappy tiered midi dress,Dresses,Floral applique midi dress,Midi,red,solid,red; midi; romantic; occasion; rosette; summer,4882,https://www.tiktok.com/@liletti_md/video/7644913329747643668,product-024-1.jpg,product-024-2.jpg,product-024-3.jpg
025,Polka dot lace-trim midi dress,Dresses,Polka dot midi dress,Midi,cream,other,cream; polka-dot; lace; midi; vintage; elegant,4577,https://www.tiktok.com/@liletti_md/video/7647247495017368852,product-025-1.jpg,product-025-2.jpg,product-025-3.jpg
026,Blush pink embellished maxi dress,Dresses,Beaded chiffon maxi dress,Maxi,pink,solid,pink; maxi; occasion; embellished; chiffon; evening,4453,https://www.tiktok.com/@liletti_md/video/7649840898586561813,product-026-1.jpg,product-026-2.jpg,product-026-3.jpg
027,Yellow floral print shirt dress,Dresses,Belted midi shirt dress,Midi,yellow,floral,yellow; floral; midi; shirtdress; summer; elegant,4283,https://www.tiktok.com/@liletti_md/video/7650082341041360149,product-027-1.jpg,product-027-2.jpg,product-027-3.jpg
028,Brown satin tiered maxi dress,Dresses,Belted satin maxi dress,Maxi,brown,solid,brown; maxi; satin; boho; summer; flowy,4106,https://www.tiktok.com/@liletti_md/video/7653576140056972564,product-028-1.jpg,product-028-2.jpg,product-028-3.jpg
029,Mint lace A-line midi dress,Dresses,Lace midi dress,Midi,mint,lace,mint; lace; romantic; midi; feminine; occasion,4087,https://www.tiktok.com/@liletti_md/video/7650136595516935444,product-029-1.jpg,product-029-2.jpg,product-029-3.jpg
030,Blush pink pleated maxi dress,Dresses,Pleated maxi dress,Maxi,pink,solid,pink; maxi; elegant; pleated; occasion; feminine,4019,https://www.tiktok.com/@liletti_md/video/7647600098880326932,product-030-1.jpg,product-030-2.jpg,product-030-3.jpg
031,Powder blue ruched midi dress,Dresses,Ruched midi dress,Midi,light blue,solid,light blue; midi; elegant; ruched; occasion; feminine,3997,https://www.tiktok.com/@liletti_md/video/7647924707127495957,product-031-1.jpg,product-031-2.jpg,product-031-3.jpg
032,Coral red belted shirt dress,Dresses,Shirt dress,Midi,red,solid,red; shirt dress; belted; casual; midi; summer,3853,https://www.tiktok.com/@liletti_md/video/7653918309892541717,product-032-1.jpg,product-032-2.jpg,product-032-3.jpg
033,Black beaded yoke sheath dress,Dresses,Cocktail sheath dress,Midi,black,solid,black; cocktail; beaded; evening; elegant; occasion,3835,https://www.tiktok.com/@liletti_md/video/7648307445852523797,product-033-1.jpg,product-033-2.jpg,product-033-3.jpg
034,Black textured midi dress with wrap,Dresses,Midi dress,Midi,black,other,black; midi; textured; elegant; evening; occasion,3798,https://www.tiktok.com/@liletti_md/video/7646478342639602964,product-034-1.jpg,product-034-2.jpg,product-034-3.jpg
035,Brown sleeveless tiered maxi dress,Dresses,Tiered maxi dress,Maxi,brown,solid,brown; maxi; tiered; casual; sleeveless; summer,3744,https://www.tiktok.com/@liletti_md/video/7644260670569155860,product-035-1.jpg,product-035-2.jpg,product-035-3.jpg
036,Sky blue pearl bow detail dress,Dresses,Embellished dress,Midi,blue,solid,blue; pearl; elegant; occasion; feminine; embellished,3700,https://www.tiktok.com/@liletti_md/video/7648520027640974612,product-036-1.jpg,product-036-2.jpg,product-036-3.jpg
037,Pastel yellow chiffon midi dress,Dresses,Chiffon midi dress,Midi,yellow,solid,yellow; chiffon; midi; feminine; summer; occasion,3639,https://www.tiktok.com/@liletti_md/video/7653713474047970580,product-037-1.jpg,product-037-2.jpg,product-037-3.jpg
038,Mint floral print maxi dress,Dresses,Floral maxi dress,Maxi,mint,floral,mint; floral; maxi; summer; feminine; occasion,3508,https://www.tiktok.com/@liletti_md/video/7644638012516666645,product-038-1.jpg,product-038-2.jpg,product-038-3.jpg
039,Pastel yellow pleated wide-leg pants,Pants,Wide-leg pants,,yellow,solid,yellow; wide-leg; embroidered; summer; elegant; flowy,3504,https://www.tiktok.com/@liletti_md/video/7647529139767037204,product-039-1.jpg,product-039-2.jpg,product-039-3.jpg
040,Emerald green blouse and skirt set,Co-ord Sets,Blouse and skirt set,,green,solid,green; two-piece; elegant; satin; embellished; occasion,3454,https://www.tiktok.com/@liletti_md/video/7647225788865072404,product-040-1.jpg,product-040-2.jpg,product-040-3.jpg
041,Ivory pearl bow belted dress,Dresses,Belted midi dress,Midi,ivory,solid,ivory; midi; elegant; belted; occasion; feminine,3380,https://www.tiktok.com/@liletti_md/video/7647213321459879189,product-041-1.jpg,product-041-2.jpg,product-041-3.jpg
042,Black lace-hem mermaid midi dress,Dresses,Mermaid midi dress,Midi,black,lace,black; midi; lace; mermaid; elegant; occasion,3323,https://www.tiktok.com/@liletti_md/video/7649463090160864533,product-042-1.jpg,product-042-2.jpg,product-042-3.jpg
043,Polka dot puff sleeve midi dress,Dresses,Puff sleeve midi dress,Midi,brown,other,brown; polka dot; midi; casual; feminine,3288,https://www.tiktok.com/@liletti_md/video/7647216196433054996,product-043-1.jpg,product-043-2.jpg,product-043-3.jpg
044,Ivory satin blouse and skirt set,Co-ord Sets,Blouse and maxi skirt set,,ivory,solid,ivory; satin; elegant; two-piece; occasion,3282,https://www.tiktok.com/@liletti_md/video/7648585755979304213,product-044-1.jpg,product-044-2.jpg,product-044-3.jpg
045,Brown polka dot tie-neck shirt dress,Dresses,Belted shirt dress,Maxi,brown,other,brown; polka dot; midi; belted; feminine,3220,https://www.tiktok.com/@liletti_md/video/7646792496973942036,product-045-1.jpg,product-045-2.jpg,product-045-3.jpg
046,Navy lace belted maxi dress,Dresses,Lace maxi dress,Maxi,navy,lace,navy; lace; maxi; evening; elegant,3113,https://www.tiktok.com/@liletti_md/video/7650967750055185685,product-046-1.jpg,product-046-2.jpg,product-046-3.jpg
047,Light blue lace-trim shirt and pants set,Co-ord Sets,Shirt and wide-leg pants set,,light blue,solid,light blue; lace; two-piece; summer; casual,3101,https://www.tiktok.com/@liletti_md/video/7647855924794854676,product-047-1.jpg,product-047-2.jpg,product-047-3.jpg
048,White textured cap sleeve maxi dress,Dresses,Textured a-line maxi dress,Maxi,white,striped,white; textured; maxi; elegant; occasion,3100,https://www.tiktok.com/@liletti_md/video/7646494782356770069,product-048-1.jpg,product-048-2.jpg,product-048-3.jpg
049,White embroidered short sleeve dress,Dresses,Embroidered midi dress,Midi,white,solid,white; embroidered; summer; feminine; casual,3057,https://www.tiktok.com/@liletti_md/video/7651230762779315477,product-049-1.jpg,product-049-2.jpg,product-049-3.jpg
050,Navy tiered ruffle maxi dress,Dresses,Tiered ruffle maxi dress,Maxi,navy,print,navy; ruffle; maxi; evening; romantic,3052,https://www.tiktok.com/@liletti_md/video/7650570042916015381,product-050-1.jpg,product-050-2.jpg,product-050-3.jpg
051,Blush embellished draped maxi dress,Dresses,Embellished draped maxi dress,Maxi,pink,solid,pink; embellished; maxi; evening; elegant,3031,https://www.tiktok.com/@liletti_md/video/7649852663152135444,product-051-1.jpg,product-051-2.jpg,product-051-3.jpg
052,Beige textured knit midi dress with blazer,Dresses,Knit fit-and-flare dress,Midi,beige,striped,beige; knit; midi; smart; elegant,2954,https://www.tiktok.com/@liletti_md/video/7647218411973446932,product-052-1.jpg,product-052-2.jpg,product-052-3.jpg
053,Black paisley print button-front dress,Dresses,Printed shirt dress,Midi,black,print,black; paisley; print; midi; casual,2898,https://www.tiktok.com/@liletti_md/video/7652070865449880852,product-053-1.jpg,product-053-2.jpg,product-053-3.jpg
054,Cream textured knit cap sleeve maxi dress,Dresses,Knit a-line maxi dress,Maxi,cream,striped,cream; knit; maxi; elegant; occasion,2887,https://www.tiktok.com/@liletti_md/video/7650756740375481621,product-054-1.jpg,product-054-2.jpg,product-054-3.jpg
055,Brown polka dot tie-neck midi dress,Dresses,Belted tie-neck midi dress,Midi,brown,other,brown; polka dot; midi; belted; feminine,2878,https://www.tiktok.com/@liletti_md/video/7646780415507827988,product-055-1.jpg,product-055-2.jpg,product-055-3.jpg
056,White eyelet sleeveless maxi dress,Dresses,Eyelet slip maxi dress,Maxi,white,other,white; eyelet; maxi; summer; boho,2844,https://www.tiktok.com/@liletti_md/video/7649348397140348180,product-056-1.jpg,product-056-2.jpg,product-056-3.jpg
057,Lace ruffle top and floral skirt set,Co-ord Sets,Top and skirt two-piece,,beige,floral,beige; floral; romantic; lace; feminine; occasion,2824,https://www.tiktok.com/@liletti_md/video/7647253815141403924,product-057-1.jpg,product-057-2.jpg,product-057-3.jpg
058,White eyelet embroidered vest top,Tops,Sleeveless button vest,,white,other,white; eyelet; summer; cotton; casual; sleeveless,2790,https://www.tiktok.com/@liletti_md/video/7646424473331059989,product-058-1.jpg,product-058-2.jpg,product-058-3.jpg
059,Brown tiered maxi dress,Dresses,Tiered maxi dress,Maxi,brown,solid,brown; maxi; satin; elegant; everyday; belted,2788,https://www.tiktok.com/@liletti_md/video/7652430735629962516,product-059-1.jpg,product-059-2.jpg,product-059-3.jpg
060,Black polka dot maxi dress,Dresses,Belted maxi dress,Maxi,black,print,black; polka dot; maxi; elegant; belted; occasion,2785,https://www.tiktok.com/@liletti_md/video/7648367628683103508,product-060-1.jpg,product-060-2.jpg,product-060-3.jpg
061,Sage floral chiffon maxi dress,Dresses,Floral chiffon maxi dress,Maxi,green,floral,green; floral; chiffon; maxi; romantic; occasion,2757,https://www.tiktok.com/@liletti_md/video/7646455702852029716,product-061-1.jpg,product-061-2.jpg,product-061-3.jpg
062,Grey-brown jacket and trouser set,Co-ord Sets,Jacket and wide-leg trouser set,,brown,solid,brown; casual; utility; relaxed; two-piece; everyday,2731,https://www.tiktok.com/@liletti_md/video/7646882896309013780,product-062-1.jpg,product-062-2.jpg,product-062-3.jpg
063,Tailored waistcoat,Outerwear,Sleeveless vest waistcoat,,black,solid,black; tailored; vest; smart; layering; classic,2709,https://www.tiktok.com/@liletti_md/video/7644247356136836372,product-063-1.jpg,product-063-2.jpg,product-063-3.jpg
064,Pale yellow tiered maxi dress,Dresses,Sleeveless pleated maxi dress,Maxi,yellow,solid,yellow; maxi; flowy; summer; pastel; feminine,2708,https://www.tiktok.com/@liletti_md/video/7644442909600779540,product-064-1.jpg,product-064-2.jpg,product-064-3.jpg
065,Pink 3D floral shirt dress,Dresses,Button-front midi shirt dress,Midi,pink,floral,pink; floral; midi; romantic; feminine; occasion,2673,https://www.tiktok.com/@liletti_md/video/7651985342756588820,product-065-1.jpg,product-065-2.jpg,product-065-3.jpg
066,Paisley print chiffon maxi dress,Dresses,Paisley chiffon maxi dress,Maxi,beige,print,beige; paisley; maxi; bohemian; chiffon; occasion,2647,https://www.tiktok.com/@liletti_md/video/7646501954385890580,product-066-1.jpg,product-066-2.jpg,product-066-3.jpg
067,Cream cardigan and skirt loungewear set,Loungewear,Cardigan and skirt set,,cream,solid,cream; cozy; relaxed; soft; two-piece; everyday,2633,https://www.tiktok.com/@liletti_md/video/7650416773514235157,product-067-1.jpg,product-067-2.jpg,product-067-3.jpg
068,Ivory tee and wide-leg trouser set,Co-ord Sets,Top and trouser loungewear set,,ivory,solid,ivory; relaxed; minimal; two-piece; casual; comfortable,2548,https://www.tiktok.com/@liletti_md/video/7648600821898153236,product-068-1.jpg,product-068-2.jpg,product-068-3.jpg
069,White military shirt and wide-leg pants set,Co-ord Sets,Embellished shirt and trouser set,,white,solid,white; military; relaxed; two-piece; casual; statement,2537,https://www.tiktok.com/@liletti_md/video/7648267254563491093,product-069-1.jpg,product-069-2.jpg,product-069-3.jpg
070,Ruffle-sleeve tiered midi dress,Dresses,Button-front tiered dress,Midi,yellow,solid,yellow; ruffle; midi; feminine; everyday; pastel,2493,https://www.tiktok.com/@liletti_md/video/7649770935477816597,product-070-1.jpg,product-070-2.jpg,product-070-3.jpg
071,Floral print button-front midi dress,Dresses,Midi dress,Midi,cream,floral,cream; floral; summer; romantic; chiffon; feminine,2479,https://www.tiktok.com/@liletti_md/video/7654180389472259349,product-071-1.jpg,product-071-2.jpg,product-071-3.jpg
072,Pinstripe cape-style coat dress,Outerwear,Lightweight coat,,black,striped,black; pinstripe; office; structured; smart; tailored,2441,https://www.tiktok.com/@liletti_md/video/7648173465253530901,product-072-1.jpg,product-072-2.jpg,product-072-3.jpg
073,Embroidered shirt and wide-leg pants set,Co-ord Sets,Shirt and trouser set,,yellow,print,yellow; pastel; summer; embroidered; linen; matching set,2379,https://www.tiktok.com/@liletti_md/video/7649739589921295636,product-073-1.jpg,product-073-2.jpg,product-073-3.jpg
074,Pastel vest and skirt two-piece,Co-ord Sets,Waistcoat and skirt set,,yellow,solid,yellow; pastel; tailored; summer; elegant; matching set,2346,https://www.tiktok.com/@liletti_md/video/7647155420355742997,product-074-1.jpg,product-074-2.jpg,product-074-3.jpg
075,White strappy camisole top,Tops,Camisole,,white,solid,white; summer; casual; satin; basic; feminine,2194,https://www.tiktok.com/@liletti_md/video/7647120287221255444,product-075-1.jpg,product-075-2.jpg,product-075-3.jpg
076,Lace panel short-sleeve blouse,Tops,Lace blouse,,white,lace,white; lace; romantic; summer; feminine; elegant,2193,https://www.tiktok.com/@liletti_md/video/7646471921105685781,product-076-1.jpg,product-076-2.jpg,product-076-3.jpg
077,Polka dot belted shirt dress,Dresses,Shirt dress,Maxi,black,print,black; polka dot; casual; belted; midi; everyday,2169,https://www.tiktok.com/@liletti_md/video/7653523357262040340,product-077-1.jpg,product-077-2.jpg,product-077-3.jpg
078,Rope-belt cap-sleeve midi dress,Dresses,Shirt dress,Midi,navy,solid,navy; casual; summer; belted; midi; minimal,2148,https://www.tiktok.com/@liletti_md/video/7646724375965895957,product-078-1.jpg,product-078-2.jpg,product-078-3.jpg
079,Palm print top and trouser set,Co-ord Sets,Blouse and pants set,,green,print,green; tropical; print; resort; satin; matching set,2033,https://www.tiktok.com/@liletti_md/video/7653064721909763348,product-079-1.jpg,product-079-2.jpg,product-079-3.jpg
080,Cherry embroidered denim dress,Dresses,Denim dress,Midi,blue,denim,blue; denim; embroidered; casual; midi; cherry,2022,https://www.tiktok.com/@liletti_md/video/7653879091489148181,product-080-1.jpg,product-080-2.jpg,product-080-3.jpg
081,Denim belted shirt dress,Dresses,Denim shirt dress,Midi,blue,denim,blue; denim; casual; buttoned; midi; utility,2011,https://www.tiktok.com/@liletti_md/video/7646818040130145556,product-081-1.jpg,product-081-2.jpg,product-081-3.jpg
082,Textured stripe sleeveless midi dress,Dresses,A-line midi dress,Midi,white,striped,white; textured; summer; elegant; a-line; feminine,1972,https://www.tiktok.com/@liletti_md/video/7647201280183749908,product-082-1.jpg,product-082-2.jpg,product-082-3.jpg
083,Bee embroidered navy midi dress,Dresses,Midi dress,Midi,navy,print,navy; embroidered; casual; midi; summer; elegant,1924,https://www.tiktok.com/@liletti_md/video/7647660511298931989,product-083-1.jpg,product-083-2.jpg,product-083-3.jpg
084,Blue collared wide-leg jumpsuit,Jumpsuits,Wide-leg jumpsuit,,blue,solid,blue; casual; wide-leg; summer; collared; minimal,1914,https://www.tiktok.com/@liletti_md/video/7649723281443982613,product-084-1.jpg,product-084-2.jpg,product-084-3.jpg
085,Red bow-front midi dress,Dresses,Bodycon midi dress,Midi,red,solid,red; evening; elegant; bodycon; midi; formal,1886,https://www.tiktok.com/@liletti_md/video/7646072847030291732,product-085-1.jpg,product-085-2.jpg,product-085-3.jpg
086,Paisley print shirt and trouser co-ord,Co-ord Sets,Shirt and wide-leg trouser set,,brown,print,brown; paisley; boho; satin; vacation; co-ord,1857,https://www.tiktok.com/@liletti_md/video/7651300558283771157,product-086-1.jpg,product-086-2.jpg,product-086-3.jpg
087,Spotted print shirt midi dress,Dresses,Belted shirt dress,Midi,brown,print,brown; blue; casual; shirt-dress; midi; daytime,1834,https://www.tiktok.com/@liletti_md/video/7651709097141751061,product-087-1.jpg,product-087-2.jpg,product-087-3.jpg
088,Abstract print top and skirt set,Co-ord Sets,Blouse and skirt set,,brown,print,brown; green; abstract; summer; casual; co-ord,1807,https://www.tiktok.com/@liletti_md/video/7649373181467249941,product-088-1.jpg,product-088-2.jpg,product-088-3.jpg
089,Paisley print belted midi dress,Dresses,Satin midi dress,Midi,beige,print,beige; paisley; satin; elegant; midi; daytime,1782,https://www.tiktok.com/@liletti_md/video/7653193082493570324,product-089-1.jpg,product-089-2.jpg,product-089-3.jpg
090,Polka dot short-sleeve blouse,Tops,Button-up blouse,,cream,print,cream; polka-dot; casual; blouse; summer; lightweight,1728,https://www.tiktok.com/@liletti_md/video/7653340212369640725,product-090-1.jpg,product-090-2.jpg,product-090-3.jpg
091,Blush lace embroidered midi dress,Dresses,Embroidered occasion dress,Midi,beige,lace,blush; lace; occasion; elegant; floral; formal,1646,https://www.tiktok.com/@liletti_md/video/7648344110331415828,product-091-1.jpg,product-091-2.jpg,product-091-3.jpg
092,Floral print tiered maxi dress,Dresses,Shirt maxi dress,Maxi,black,floral,black; floral; maxi; casual; spring; tiered,1599,https://www.tiktok.com/@liletti_md/video/7649805826546289940,product-092-1.jpg,product-092-2.jpg,product-092-3.jpg
093,Pink 3D floral applique midi dress,Dresses,Button-front midi dress,Midi,pink,floral,pink; floral; occasion; romantic; elegant; midi,1596,https://www.tiktok.com/@liletti_md/video/7650471705583832341,product-093-1.jpg,product-093-2.jpg,product-093-3.jpg
094,Ditsy floral slip dress with tie shirt,Dresses,Slip maxi dress,Maxi,beige,floral,beige; ditsy-floral; slip; summer; layered; maxi,1552,https://www.tiktok.com/@liletti_md/video/7653435878706138389,product-094-1.jpg,product-094-2.jpg,product-094-3.jpg
095,Polka dot lace-trim maxi dress,Dresses,Satin maxi dress,Maxi,cream,print,cream; polka-dot; lace; vintage; elegant; maxi,1530,https://www.tiktok.com/@liletti_md/video/7653863932494417173,product-095-1.jpg,product-095-2.jpg,product-095-3.jpg
096,Crochet cardigan and linen slip dress set,Co-ord Sets,Slip dress with crochet topper,,beige,solid,beige; crochet; linen; summer; layered; co-ord,1520,https://www.tiktok.com/@liletti_md/video/7650184039034342676,product-096-1.jpg,product-096-2.jpg,product-096-3.jpg
097,Navy dress with polka dot blazer and trousers,Dresses,Midi dress with blazer styling,Midi,navy,solid,navy; elegant; layered; smart; midi; occasion,1463,https://www.tiktok.com/@liletti_md/video/7653165768414170388,product-097-1.jpg,product-097-2.jpg,product-097-3.jpg
098,White embroidered eyelet boho maxi dress,Dresses,Tiered boho maxi dress,Maxi,white,lace,white; boho; eyelet; embroidered; summer; maxi,1425,https://www.tiktok.com/@liletti_md/video/7653425436877180180,product-098-1.jpg,product-098-2.jpg,product-098-3.jpg
099,Blue floral print midi sundress,Dresses,Strappy midi sundress,Midi,blue,floral,blue; summer; floral; sleeveless; vacation; midi,1423,https://www.tiktok.com/@liletti_md/video/7652339731866340628,product-099-1.jpg,product-099-2.jpg,product-099-3.jpg
100,Cream embroidered drop-waist maxi dress,Dresses,Belted maxi dress,Maxi,cream,solid,cream; elegant; embroidered; belted; maxi; occasion,1255,https://www.tiktok.com/@liletti_md/video/7653554668580162836,product-100-1.jpg,product-100-2.jpg,product-100-3.jpg
101,Blush pink beaded chiffon maxi dress,Dresses,Draped evening maxi dress,Maxi,pink,solid,pink; evening; beaded; chiffon; elegant; maxi,1182,https://www.tiktok.com/@liletti_md/video/7649852483002584340,product-101-1.jpg,product-101-2.jpg,product-101-3.jpg
102,Blue striped floral-applique shirt dress,Dresses,Striped midi shirt dress,Midi,blue,striped,blue; striped; cotton; casual; midi; applique,1113,https://www.tiktok.com/@liletti_md/video/7653830715712507156,product-102-1.jpg,product-102-2.jpg,product-102-3.jpg
103,Light blue botanical print maxi dress,Dresses,Sleeveless maxi dress,Maxi,light blue,print,blue; summer; print; sleeveless; maxi; vacation,1014,https://www.tiktok.com/@liletti_md/video/7653100767271800084,product-103-1.jpg,product-103-2.jpg,product-103-3.jpg
104,Brown spotted print belted shirt dress,Dresses,Midi shirt dress,Midi,brown,print,brown; print; belted; casual; midi; shirtdress,941,https://www.tiktok.com/@liletti_md/video/7653547148050435348,product-104-1.jpg,product-104-2.jpg,product-104-3.jpg
105,Ivory lace eyelet boho tunic dress,Dresses,Boho lace tunic dress,Mini,ivory,lace,ivory; boho; lace; eyelet; romantic; summer,929,https://www.tiktok.com/@liletti_md/video/7653100429873827093,product-105-1.jpg,product-105-2.jpg,product-105-3.jpg
106,Brown paisley print wrap maxi dress,Dresses,Long-sleeve wrap maxi dress,Maxi,brown,print,brown; paisley; wrap; print; maxi; autumn,800,https://www.tiktok.com/@liletti_md/video/7654158850391624980,product-106-1.jpg,product-106-2.jpg,product-106-3.jpg
107,Ivory off-shoulder lace tiered maxi dress,Dresses,Off-shoulder tiered maxi dress,Maxi,ivory,lace,ivory; boho; lace; off-shoulder; romantic; maxi,766,https://www.tiktok.com/@liletti_md/video/7653076946078780693,product-107-1.jpg,product-107-2.jpg,product-107-3.jpg
108,White tropical scenic print maxi dress,Dresses,Placement-print maxi sundress,Maxi,white,print,white; print; summer; sleeveless; vacation; maxi,746,https://www.tiktok.com/@liletti_md/video/7653089380621470997,product-108-1.jpg,product-108-2.jpg,product-108-3.jpg
109,Pale yellow pleated sleeveless maxi dress,Dresses,Flowy pleated maxi dress,Maxi,yellow,solid,yellow; summer; pleated; sleeveless; flowy; maxi,717,https://www.tiktok.com/@liletti_md/video/7654288343357934868,product-109-1.jpg,product-109-2.jpg,product-109-3.jpg
110,Navy ruched sleeveless midi dress,Dresses,Fit-and-flare midi dress,Midi,navy,solid,navy; elegant; ruched; sleeveless; midi; occasion,703,https://www.tiktok.com/@liletti_md/video/7653094946152533269,product-110-1.jpg,product-110-2.jpg,product-110-3.jpg
111,White lace-trim collared shirt dress,Dresses,Belted shirt midi dress,Midi,white,lace,white; lace; belted; summer; midi; shirtdress,617,https://www.tiktok.com/@liletti_md/video/7653081855700241685,product-111-1.jpg,product-111-2.jpg,product-111-3.jpg
112,Black and white geometric print shirt dress,Dresses,Belted midi shirt dress,Midi,black,print,black; white; geometric; print; belted; midi,572,https://www.tiktok.com/@liletti_md/video/7654258439564070165,product-112-1.jpg,product-112-2.jpg,product-112-3.jpg
